NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
,,,,,30,Roman Catholic,,
,,,,,33,Wisconsin Evangelical Lutheran Synod,,
,,,,,34,Christ and Missionary Alliance Church,,
,,,,,35,Christian Reformed Church,,
,,,,,36,Evangelical Congregational Church,,
,,,,,37,Evangelical Covenant Church of America,,
,,,,,38,Evangelical Free Church of America,,
,,,,,39,Evangelical Lutheran Church,,
,,,,,40,International United Pentecostal Church,,
,,,,,41,Free Will Baptist Church,,
,,,,,42,Interdenominational,,
,,,,,43,Mennonite Brethren Church,,
,,,,,44,Moravian Church,,
,,,,,45,North American Baptist,,
,,,,,47,Pentecostal Holiness Church,,
,,,,,48,Christian Churches and Churches of Christ,,
,,,,,49,Reformed Church in America,,
,,,,,50,"Episcopal Church, Reformed",,
,,,,,51,African Methodist Episcopal,,
,,,,,52,American Baptist,,
,,,,,53,American Lutheran,,
,,,,,54,Baptist,,
,,,,,55,Christian Methodist Episcopal,,
,,,,,57,Church of God,,
,,,,,58,Church of Brethren,,
,,,,,59,Church of the Nazarene,,
,,,,,60,Cumberland Presbyterian,,
,,,,,61,Christian Church (Disciples of Christ),,
,,,,,64,Free Methodist,,
,,,,,65,Friends,,
,,,,,66,Presbyterian Church (USA),,
,,,,,67,Lutheran Church in America,,
,,,,,68,Lutheran Church - Missouri Synod,,
,,,,,69,Mennonite Church,,
,,,,,71,United Methodist,,
,,,,,73,Protestant Episcopal,,
,,,,,74,Churches of Christ,,
,,,,,75,Southern Baptist,,
,,,,,76,United Church of Christ,,
,,,,,77,"Protestant, not specified",,
,,,,,78,Multiple Protestant Denomination,,
,,,,,79,Other Protestant,,
,,,,,80,Jewish,,
,,,,,81,Reformed Presbyterian Church,,
,,,,,84,United Brethren Church,,
,,,,,87,Missionary Church Inc,,
,,,,,88,Undenominational,,
,,,,,89,Wesleyan,,
,,,,,91,Greek Orthodox,,
,,,,,92,Russian Orthodox,,
,,,,,93,Unitarian Universalist,,
,,,,,94,Latter Day Saints (Mormon Church),,
,,,,,95,Seventh Day Adventists,,
,,,,,97,The Presbyterian Church in America,,
,,,,,99,Other (none of the above),,
,,,,,100,Original Free Will Baptist,,
,,,,,101,Ecumenical Christian,,
,,,,,102,Evangelical Christian,,
,,,,,103,Presbyterian,,
25th percentile of SAT scores at the institution (critical reading),admissions,sat_scores.25th_percentile.critical_reading,float,SATVR25,,,IPEDS,
75th percentile of SAT scores at the institution (critical reading),admissions,sat_scores.75th_percentile.critical_reading,float,SATVR75,,,IPEDS,
25th percentile of SAT scores at the institution (math),admissions,sat_scores.25th_percentile.math,float,SATMT25,,,IPEDS,
75th percentile of SAT scores at the institution (math),admissions,sat_scores.75th_percentile.math,float,SATMT75,,,IPEDS,
25th percentile of SAT scores at the institution (writing),admissions,sat_scores.25th_percentile.writing,float,SATWR25,,,IPEDS,
75th percentile of SAT scores at the institution (writing),admissions,sat_scores.75th_percentile.writing,float,SATWR75,,,IPEDS,
Midpoint of SAT scores at the institution (critical reading),admissions,sat_scores.midpoint.critical_reading,float,SATVRMID,,,IPEDS,
Midpoint of SAT scores at the institution (math),admissions,sat_scores.midpoint.math,float,SATMTMID,,,IPEDS,
Midpoint of SAT scores at the institution (writing),admissions,sat_scores.midpoint.writing,float,SATWRMID,,,IPEDS,
25th percentile of the ACT cumulative score,admissions,act_scores.25th_percentile.cumulative,float,ACTCM25,,,IPEDS,
75th percentile of the ACT cumulative score,admissions,act_scores.75th_percentile.cumulative,float,ACTCM75,,,IPEDS,
25th percentile of the ACT English score,admissions,act_scores.25th_percentile.english,float,ACTEN25,,,IPEDS,
75th percentile of the ACT English score,admissions,act_scores.75th_percentile.english,float,ACTEN75,,,IPEDS,
25th percentile of the ACT math score,admissions,act_scores.25th_percentile.math,float,ACTMT25,,,IPEDS,
75th percentile of the ACT math score,admissions,act_scores.75th_percentile.math,float,ACTMT75,,,IPEDS,
25th percentile of the ACT writing score,admissions,act_scores.25th_percentile.writing,float,ACTWR25,,,IPEDS,
75th percentile of the ACT writing score,admissions,act_scores.75th_percentile.writing,float,ACTWR75,,,IPEDS,
Midpoint of the ACT cumulative score,admissions,act_scores.midpoint.cumulative,float,ACTCMMID,,,IPEDS,
Midpoint of the ACT English score,admissions,act_scores.midpoint.english,float,ACTENMID,,,IPEDS,
Midpoint of the ACT math score,admissions,act_scores.midpoint.math,float,ACTMTMID,,,IPEDS,
Midpoint of the ACT writing score,admissions,act_scores.midpoint.writing,float,ACTWRMID,,,IPEDS,
Average SAT equivalent score of students admitted,admissions,sat_scores.average.overall,float,SAT_AVG,,,IPEDS,
Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,admissions,sat_scores.average.by_ope_id,float,SAT_AVG_ALL,,,IPEDS,
"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",academics,program_percentage.agriculture,float,PCIP01,,"Agriculture, Agriculture Operations, and Related Sciences",IPEDS,
Percentage of degrees awarded in Natural Resources And Conservation.,academics,program_percentage.resources,float,PCIP03,,Natural Resources and Conservation,IPEDS,
Percentage of degrees awarded in Architecture And Related Services.,academics,program_percentage.architecture,float,PCIP04,,Architecture and Related Services,IPEDS,
"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",academics,program_percentage.ethnic_cultural_gender,float,PCIP05,,"Area, Ethnic, Cultural, Gender, and Group Studies",IPEDS,
"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",academics,program_percentage.communication,float,PCIP09,,"Communication, Journalism, and Related Programs",IPEDS,
Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,academics,program_percentage.communications_technology,float,PCIP10,,Communications Technologies/Technicians and Support Services,IPEDS,
Percentage of degrees awarded in Computer And Information Sciences And Support Services.,academics,program_percentage.computer,float,PCIP11,,Computer and Information Sciences and Support Services,IPEDS,
Percentage of degrees awarded in Personal And Culinary Services.,academics,program_percentage.personal_culinary,float,PCIP12,,Personal and Culinary Services,IPEDS,
Percentage of degrees awarded in Education.,academics,program_percentage.education,float,PCIP13,,Education,IPEDS,
Percentage of degrees awarded in Engineering.,academics,program_percentage.engineering,float,PCIP14,,Engineering,IPEDS,
Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,academics,program_percentage.engineering_technology,float,PCIP15,,Engineering Technologies and Engineering-Related Fields,IPEDS,
"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",academics,program_percentage.language,float,PCIP16,,"Foreign Languages, Literatures, and Linguistics",IPEDS,
Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,academics,program_percentage.family_consumer_science,float,PCIP19,,Family and Consumer Sciences/Human Sciences,IPEDS,
Percentage of degrees awarded in Legal Professions And Studies.,academics,program_percentage.legal,float,PCIP22,,Legal Professions and Studies,IPEDS,
Percentage of degrees awarded in English Language And Literature/Letters.,academics,program_percentage.english,float,PCIP23,,English Language and Literature/Letters,IPEDS,
"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",academics,program_percentage.humanities,float,PCIP24,,"Liberal Arts and Sciences, General Studies and Humanities",IPEDS,
Percentage of degrees awarded in Library Science.,academics,program_percentage.library,float,PCIP25,,Library Science,IPEDS,
Percentage of degrees awarded in Biological And Biomedical Sciences.,academics,program_percentage.biological,float,PCIP26,,Biological and Biomedical Sciences,IPEDS,
Percentage of degrees awarded in Mathematics And Statistics.,academics,program_percentage.mathematics,float,PCIP27,,Mathematics and Statistics,IPEDS,
Percentage of degrees awarded in Military Technologies And Applied Sciences.,academics,program_percentage.military,float,PCIP29,,Military Technologies and Applied Sciences,IPEDS,
Percentage of degrees awarded in Multi/Interdisciplinary Studies.,academics,program_percentage.multidiscipline,float,PCIP30,,Multi/Interdisciplinary Studies,IPEDS,
"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",academics,program_percentage.parks_recreation_fitness,float,PCIP31,,"Parks, Recreation, Leisure, and Fitness Studies",IPEDS,
Percentage of degrees awarded in Philosophy And Religious Studies.,academics,program_percentage.philosophy_religious,float,PCIP38,,Philosophy and Religious Studies,IPEDS,
Percentage of degrees awarded in Theology And Religious Vocations.,academics,program_percentage.theology_religious_vocation,float,PCIP39,,Theology and Religious Vocations,IPEDS,
Percentage of degrees awarded in Physical Sciences.,academics,program_percentage.physical_science,float,PCIP40,,Physical Sciences,IPEDS,
Percentage of degrees awarded in Science Technologies/Technicians.,academics,program_percentage.science_technology,float,PCIP41,,Science Technologies/Technicians,IPEDS,
Percentage of degrees awarded in Psychology.,academics,program_percentage.psychology,float,PCIP42,,Psychology,IPEDS,
"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",academics,program_percentage.security_law_enforcement,float,PCIP43,,"Homeland Security, Law Enforcement, Firefighting and Related Protective Services",IPEDS,
Percentage of degrees awarded in Public Administration And Social Service Professions.,academics,program_percentage.public_administration_social_service,float,PCIP44,,Public Administration and Social Service Professions,IPEDS,
Percentage of degrees awarded in Social Sciences.,academics,program_percentage.social_science,float,PCIP45,,Social Sciences,IPEDS,
Percentage of degrees awarded in Construction Trades.,academics,program_percentage.construction,float,PCIP46,,Construction Trades,IPEDS,
Percentage of degrees awarded in Mechanic And Repair Technologies/Technicians.,academics,program_percentage.mechanic_repair_technology,float,PCIP47,,Mechanic and Repair Technologies/Technicians,IPEDS,
Percentage of degrees awarded in Precision Production.,academics,program_percentage.precision_production,float,PCIP48,,Precision Production,IPEDS,
Percentage of degrees awarded in Transportation And Materials Moving.,academics,program_percentage.transportation,float,PCIP49,,Transportation and Materials Moving,IPEDS,
Percentage of degrees awarded in Visual And Performing Arts.,academics,program_percentage.visual_performing,float,PCIP50,,Visual and Performing Arts,IPEDS,
Percentage of degrees awarded in Health Professions And Related Programs.,academics,program_percentage.health,float,PCIP51,,Health Professions and Related Programs,IPEDS,
"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services.",academics,program_percentage.business_marketing,float,PCIP52,,"Business, Management, Marketing, and Related Support Services",IPEDS,
Percentage of degrees awarded in History.,academics,program_percentage.history,float,PCIP54,,History,IPEDS,
Flag for distance-education-only education,school,online_only,integer,DISTANCEONLY,0,Not distance-education only,IPEDS,
,,,,,1,Distance-education only,,
Enrollment of undergraduate degree-seeking students,student,size,integer,UGDS, ,,IPEDS,"To be bucketed into size categories (College Navigator: <2k, 2-15k, >15k)"
Total share of enrollment of undergraduate degree-seeking students who are white,student,demographics.race_ethnicity.white,float,UGDS_WHITE,,,IPEDS,Not before 2009
Total share of enrollment of undergraduate degree-seeking students who are black,student,demographics.race_ethnicity.black,float,UGDS_BLACK,,,IPEDS,Pre2009_IPEDS
Total share of enrollment of undergraduate degree-seeking students who are Hispanic,student,demographics.race_ethnicity.hispanic,float,UGDS_HISP,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are Asian,student,demographics.race_ethnicity.asian,float,UGDS_ASIAN,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native,student,demographics.race_ethnicity.aian,float,UGDS_AIAN,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander,student,demographics.race_ethnicity.nhpi,float,UGDS_NHPI,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are two or more races,student,demographics.race_ethnicity.two_or_more,float,UGDS_2MOR,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students who are non-resident aliens,student,demographics.race_ethnicity.non_resident_alien,float,UGDS_NRA,,,IPEDS,
Total share of enrollment of undergraduate degree-seeking students whose race is unknown,student,demographics.race_ethnicity.unknown,float,UGDS_UNKN,,,IPEDS,
"Share of undergraduate, degree-/certificate-seeking students who are part-time",student,part_time_share,float,PPTUG_EF, ,,IPEDS,"The proportion of degree/certificate-seeking undergraduates enrolled part time in the fall term, calculated from the IPEDS Fall Enrollment component. This metric does not apply during 2000-01, when degree/certificate-seeking status was not collected. It is calculated as the number of part-time, degree/certificate-seeking undergraduates divided by the number of degree/certificate-seeking undergraduates. It includes non-first-time undergraduates. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.
"
"Flag for currently operating institution, 0=closed, 1=operating",school,operating,integer,CURROPER,0,Not currently certified as an operating institution,FSA,
,,,,,1,Currently certified as operating,,
Average net price for Title IV institutions (public institutions),cost,avg_net_price.public,integer,NPT4_PUB,,,IPEDS,"The average annual total cost of attendance (CostT4_A, CostT4_P), including tuition and fees, books and supplies, and living expenses, minus the average grant/scholarship aid. It is calculated for all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. It is included in the IPEDS Student Financial Aid component. Separate metrics are calculated for public institutions and private institutions. For academic-year institutions, net price represents an average of all programs and includes only undergraduates who first enrolled in the fall term. For non-academic-year institutions (program or continuous enrollment), net price represents the program with the largest enrollment at the institution for the length of the full program, regardless of program length (see LProgram), and it includes undergraduates who first enrolled at any time during the academic year. For public institutions, this metric is limited to undergraduates who pay in-state tuition and receive Title IV aid. For private institutions, it includes all undergraduates who receive Title IV aid. The total cost of attendance depends on whether undergraduates live on campus, off campus (not with family), or off campus (with family)."
Average net price for Title IV institutions (private for-profit and nonprofit institutions),cost,avg_net_price.private,integer,NPT4_PRIV,,,IPEDS,
"Average net price for $0-$30,000 family income (public institutions)",cost,net_price.public.by_income_level.0-30000,integer,NPT41_PUB,,,IPEDS,"The average annual total cost of attendance (CostT4_A, CostT4_P), including tuition and fees, books and supplies, and living expenses, minus the average grant/scholarship aid, by aggregated income category. It is calculated for all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. It is included in the IPEDS Student Financial Aid component. Separate metrics are calculated for public institutions and private institutions for each of three aggregated income categories. Average net price (NPT4_PUB, NPT4_PRIV) for each of the following three aggregated income categories: $0 <= $48,000; $48,00 <= $75,000; $75,001 or more. For public institutions, this metric is limited to undergraduates who pay in-state tuition and receive Title IV aid. For private institutions, it includes all undergraduates who receive Title IV aid. The total cost of attendance depends on whether undergraduates live on campus, off campus (not with family), or off campus (with family).
Income categories are calculated from the income values used by the institution to calculate financial aid eligibility. For a dependent student, this includes the student’s and the parents’ income. For an independent student, this includes the student’s adjusted gross income and, if the student is married, the spouse’s income. This metric is not available prior to the 2008-09 academic year. "
"Average net price for $30,001-$48,000 family income (public institutions)",cost,net_price.public.by_income_level.30001-48000,integer,NPT42_PUB,,,IPEDS,
"Average net price for $48,001-$75,000 family income (public institutions)",cost,net_price.public.by_income_level.48001-75000,integer,NPT43_PUB,,,IPEDS,
"Average net price for $75,001-$110,000 family income (public institutions)",cost,net_price.public.by_income_level.75001-110000,integer,NPT44_PUB,,,IPEDS,
"Average net price for $110,000+ family income (public institutions)",cost,net_price.public.by_income_level.110001-plus,integer,NPT45_PUB,,,IPEDS,
"Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.0-30000,integer,NPT41_PRIV,,,IPEDS,
"Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.30001-48000,integer,NPT42_PRIV,,,IPEDS,
"Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.48001-75000,integer,NPT43_PRIV,,,IPEDS,
"Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.75001-110000,integer,NPT44_PRIV,,,IPEDS,
"Average net price for $110,000+ family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.110001-plus,integer,NPT45_PRIV,,,IPEDS,
Percentage of undergraduates who receive a Pell Grant,aid,pell_grant_rate,float,PCTPELL, ,,IPEDS,"The proportion of undergraduates who received a Pell grant in the academic year, calculated from the IPEDS Student Financial Aid component. This metric is calculated by IPEDS as the quotient of the number of Pell grant recipients divided by the count of all undergraduates for either a fall enrollment cohort (for institutions that primarily follow an academic year calendar system) or a full-year enrollment cohort (for institutions that primarily follow a continuous enrollment or program-based calendar system). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2008â€“09 academic year.
"
"First-time, full-time student retention rate at four-year institutions",student,retention_rate.four_year.full_time,float,RET_FT4,,,IPEDS,"The proportion of full-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall term of the current academic year divided by the number of full-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. This metric is not available prior to the 2004â€“05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent."
"First-time, full-time student retention rate at less-than-four-year institutions",student,retention_rate.lt_four_year.full_time,float,RET_FTL4,,,IPEDS,
"First-time, part-time student retention rate at four-year institutions",student,retention_rate.four_year.part_time,float,RET_PT4,,,IPEDS,"The proportion of part-time, first-time, degree/certificate-seeking undergraduates who were enrolled at the institution in the fall 1 year after starting at the institution, calculated from the IPEDS Fall Enrollment component. Separate metrics are calculated for 4-year institutions and less-than-4-year institutions. The retention rate is calculated as the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall term of the current academic year divided by the number of part-time, first-time, degree/certificate-seeking undergraduates enrolled in the fall of the prior academic year. This metric is not available prior to the 2004â€“05 academic year. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent.
"
"First-time, part-time student retention rate at less-than-four-year institutions",student,retention_rate.lt_four_year.part_time,float,RET_PTL4,,,IPEDS,
Percent of all federal undergraduate students receiving a federal student loan,aid,federal_loan_rate,float,PCTFLOAN, ,,IPEDS,"The proportion of undergraduates who received a federal loan in the academic year, calculated from values from the IPEDS Student Financial Aid component. Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2009â€“10 academic year.
"
Percentage of undergraduates aged 25 and above,student,share_25_older,float,UG25abv, ,,IPEDS,The proportion of undergraduates who are aged 25 or older
Schools that are on Heightened Cash Monitoring 2 by the Department of Education,school,under_investigation,integer,HCM2,,,FSA,Flag (1=HCM2)
Median earnings of students working and not enrolled 10 years after entry,earnings,10_yrs_after_entry.median,integer,md_earn_wne_p10,,,Treasury,
"Share of students earning over $25,000/year (threshold earnings) 6 years after entry",earnings,6_yrs_after_entry.percent_greater_than_25000,float,gt_25k_p6,,,Treasury,
"Median debt of completers, suppressed for n=30",aid,median_debt_suppressed.completers.overall,float,GRAD_DEBT_MDN_SUPP,,,NSLDS,
"Median debt of completers expressed in 10-year monthly payments, suppressed for n=30",aid,median_debt_suppressed.completers.monthly_payments,float,GRAD_DEBT_MDN10YR_SUPP,,,NSLDS,
"3-year repayment rate, suppressed for n=30",repayment,3_yr_repayment_suppressed.overall,float,RPY_3YR_RT_SUPP,,,NSLDS,
"150% completion rate for four-year institutions, pooled in two-year rolling averages and suppressed for small n size.  For four year school, students are considered to have graduated ""on time"" if they graduate within 6 years.",completion,rate_suppressed.four_year,float,C150_4_POOLED_SUPP,,,IPEDS,
"200% completion rate for less-than-four-year institutions, pooled in two-year rolling averages and suppressed for small n size.  For two year schools, students are considered to have graduated ""on time"" if they graduate within 4 years.",completion,rate_suppressed.lt_four_year,float,C200_L4_POOLED_SUPP,,,IPEDS,
